Фамилия;Имя, отчество;Login;Password;Role;;UserID;UserName;UserSurname;UserPatronymic;UserLogin;UserPassword;UserRole
;;;;Клиент;;0;Сергей;Ефремов ;Пантелеймонович;loginDEppn2018;6}i+FD;1
;;;;Клиент;;1;Тамара;Родионова ;Валентиновна;loginDElqb2018;RNynil;1
;;;;Менеджер;;2;Галина;Миронова ;Улебовна;loginDEydn2018;34I}X9;2
;;;;Менеджер;;3;Роман;Сидоров ;Иринеевич;loginDEijg2018;4QlKJW;2
;;;;Менеджер;;4;Парфений;Ситников ;Всеволодович;loginDEdpy2018;MJ0W|f;2
;;;;Менеджер;;5;Роман;Никонов ;Геласьевич;loginDEwdm2018;&PynqU;2
;;;;Клиент;;6;Владимир;Щербаков ;Матвеевич;loginDEdup2018;JM+2{s;1
;;;;Менеджер;;7;Мартын;Кулаков ;Михаилович;loginDEhbm2018;9aObu4;2
;;;;Администратор;;8;Оксана;Сазонова ;Лаврентьевна;loginDExvq2018;hX0wJz;3
;;;;Менеджер;;9;Варлам;Архипов ;Мэлорович;loginDErks2018;LQNSjo;2
;;;;Администратор;;10;Ираида;Устинова ;Мэлоровна;loginDErvb2018;ceAf&R;3
;;;;Администратор;;11;Георгий;Лукин ;Альбертович;loginDEulo2018;#ИМЯ?;3
;;;;Клиент;;12;Эдуард;Кононов ;Валентинович;loginDEgfw2018;3c2Ic1;1
;;;;Менеджер;;13;Клавдия;Орехова ;Альбертовна;loginDEmxb2018;ZPXcRS;2
;;;;Менеджер;;14;Яков;Яковлев ;Эдуардович;loginDEgeq2018;&&Eim0;2
;;;;Клиент;;15;Мэлс;Воронов ;Семёнович;loginDEkhj2018;Pbc0t{;1
;;;;Клиент;;16;Ия;Вишнякова ;Данииловна;loginDEliu2018;32FyTl;1
;;;;Клиент;;17;Фёдор;Третьяков ;Вадимович;loginDEsmf2018;{{O2QG;1
;;;;Менеджер;;18;Максим;Макаров ;Ильяович;loginDEutd2018;GbcJvC;2
;;;;Менеджер;;19;Маргарита;Шубина ;Анатольевна;loginDEpgh2018;YV2lvh;2
;;;;Менеджер;;20;Ангелина;Блинова ;Владленовна;loginDEvop2018;pBP8rO;2
;;;;Клиент;;21;Владлен;Воробьёв ;Фролович;loginDEwjo2018;EQaD|d;1
;;;;Менеджер;;22;Прасковья;Сорокина ;Фёдоровна;loginDEbur2018;aZKGeI;2
;;;;Клиент;;23;Яков;Давыдов ;Антонович;loginDEszw2018;EGU{YE;1
;;;;Клиент;;24;Евдокия;Рыбакова ;Анатольевна;loginDExsu2018;*2RMsp;1
;;;;Клиент;;25;Геннадий;Маслов ;Фролович;loginDEztn2018;nJBZpU;1
;;;;Клиент;;26;Элеонора;Цветкова ;Аристарховна;loginDEtmn2018;UObB}N;1
;;;;Клиент;;27;Ростислав;Евдокимов ;Александрович;loginDEhep2018;SwRicr;1
;;;;Клиент;;28;Венера;Никонова ;Станиславовна;loginDEevr2018;zO5l}l;1
;;;;Клиент;;29;Егор;Громов ;Антонович;loginDEnpa2018;M*QLjf;1
;;;;Администратор;;30;Валерия;Суворова ;Борисовна;loginDEgyt2018;Pav+GP;3
;;;;Клиент;;31;Елизавета;Мишина ;Романовна;loginDEbrr2018;Z7L|+i;1
;;;;Администратор;;32;Ольга;Зимина ;Аркадьевна;loginDEyoo2018;UG1BjP;3
;;;;Администратор;;33;Игнатий;Игнатьев ;Антонинович;loginDEaob2018;3fy+3I;3
;;;;Клиент;;34;Зинаида;Пахомова ;Витальевна;loginDEwtz2018;&GxSST;1
;;;;Администратор;;35;Владимир;Устинов ;Федосеевич;loginDEctf2018;sjt*3N;3
;;;;Менеджер;;36;Мэлор;Кулаков ;Вячеславович;loginDEipm2018;MAZl6|;2
;;;;Клиент;;37;Авксентий;Сазонов ;Брониславович;loginDEjoi2018;o}C4jv;1
;;;;Менеджер;;38;Наина;Бурова ;Брониславовна;loginDEwap2018;4hny7k;2
;;;;Клиент;;39;Демьян;Фадеев ;Федосеевич;loginDEaxm2018;BEc3xq;1
;;;;Клиент;;40;Дарья;Бобылёва ;Якуновна;loginDEsmq2018;ATVmM7;1
;;;;Клиент;;41;Созон;Виноградов ;Арсеньевич;loginDEeur2018;n4V{wP;1
;;;;Клиент;;42;Владлен;Гордеев ;Ефимович;loginDEvke2018;WQLXSl;1
;;;;Менеджер;;43;Зинаида;Иванова ;Валерьевна;loginDEvod2018;0EW93v;2
;;;;Клиент;;44;Руслан;Гусев ;Дамирович;loginDEjaw2018;h6z&Ky;1
;;;;Менеджер;;45;Дмитрий;Маслов ;Иванович;loginDEpdp2018;8NvRfC;2
;;;;Клиент;;46;Ульяна;Антонова ;Семёновна;loginDEjpp2018;oMOQq3;1
;;;;Менеджер;;47;Людмила;Орехова ;Владимировна;loginDEkiy2018;BQzsts;2
;;;;Менеджер;;48;Жанна;Авдеева ;Куприяновна;loginDEhmn2018;a|Iz|7;2
;;;;Клиент;;49;Фрол;Кузнецов ;Варламович;loginDEfmn2018;cw3|03;1
